Model,Input Feature,accuracy,macro-f1,macro-precision,macro-recall,weighted-f1,weighted-precision,weighted-recall
Linear SVC,tfidf_ngram,97.82270607,0.958705114,0.969025295,0.949900225,0.977997811,0.978329609,0.978227061
Linear SVC,bow_bigram,97.74494557,0.957083574,0.962276837,0.952640219,0.977227599,0.977346629,0.977449456
Linear SVC,bow_ngram,97.74494557,0.955823981,0.961794455,0.950950089,0.977283412,0.97754989,0.977449456
Linear SVC,tfidf_bigram,97.22654225,0.952679967,0.968702409,0.938293361,0.971924326,0.972464892,0.972265422
Linear SVC,bow_trigram,96.78589943,0.945856146,0.959168167,0.935118328,0.967379315,0.968175178,0.967858994
KNN Classifier,tfidf_ngram,96.91550026,0.942768726,0.944196273,0.94215568,0.968954882,0.969089297,0.969155003
SVM Classifier,bow_ngram,97.04510109,0.942510983,0.948931997,0.93741427,0.970213287,0.970545628,0.970451011
Random Forest Classifier,bow_bigram,96.6562986,0.942123211,0.957264745,0.930930284,0.965751805,0.967065149,0.966562986
KNN Classifier,tfidf_bigram,96.44893727,0.940968195,0.944647358,0.937896408,0.964330975,0.964529407,0.964489373
SVM Classifier,bow_bigram,96.52669777,0.940859664,0.954512726,0.928566046,0.964890014,0.965349642,0.965266978
SVM Classifier,tfidf_ngram,96.60445827,0.938320163,0.964201242,0.917127838,0.96538514,0.966747161,0.966044583
Random Forest Classifier,bow_ngram,96.39709694,0.937666653,0.958027051,0.921570304,0.963081731,0.964691526,0.963970969
Random Forest Classifier,tfidf_bigram,96.08605495,0.932743248,0.956462642,0.915227124,0.959700525,0.962014692,0.96086055
Random Forest Classifier,tfidf_ngram,95.87869362,0.931447499,0.958801285,0.910105135,0.957631423,0.959941319,0.958786936
SVM Classifier,tfidf_bigram,95.36029031,0.927631178,0.96690001,0.896393163,0.952775823,0.956232307,0.953602903
Random Forest Classifier,bow_trigram,95.28252981,0.923711034,0.947385531,0.905700348,0.951724311,0.953715654,0.952825298
Linear SVC,tfidf_trigram,94.68636599,0.923641892,0.967572164,0.888683321,0.945869609,0.950088171,0.94686366
SVM Classifier,bow_trigram,95.17884914,0.92329227,0.947827748,0.904084356,0.951066254,0.953238888,0.951788491
Random Forest Classifier,tfidf_trigram,94.66044583,0.919074021,0.952737453,0.892855538,0.945172913,0.948377668,0.946604458
KNN Classifier,tfidf_trigram,95.28252981,0.915620796,0.92016463,0.912064566,0.952611831,0.952891632,0.952825298
SVM Classifier,tfidf_trigram,92.63867289,0.895374253,0.961095742,0.8474029,0.924883384,0.933829884,0.926386729
KNN Classifier,bow_ngram,92.22395023,0.886055425,0.900198639,0.879151989,0.924227428,0.931254349,0.922239502
KNN Classifier,bow_bigram,90.56505962,0.870213356,0.903914945,0.849389054,0.907523174,0.917910274,0.905650596
KNN Classifier,bow_trigram,87.11767755,0.830120007,0.876577564,0.802991543,0.873820682,0.890809511,0.871176776
Naive Bayes Classifier,bow_bigram,90.40953862,0.823392209,0.898164468,0.782888453,0.899127733,0.912430247,0.904095386
Naive Bayes Classifier,bow_ngram,90.0466563,0.814371167,0.93394626,0.761741022,0.893927347,0.915043498,0.900466563
Naive Bayes Classifier,bow_trigram,87.16951788,0.777365517,0.823151924,0.765209607,0.869565876,0.887841734,0.871695179
Naive Bayes Classifier,tfidf_bigram,81.90772421,0.652081929,0.889439246,0.574339196,0.797822502,0.854504233,0.819077242
Naive Bayes Classifier,tfidf_trigram,79.57490928,0.6332596,0.903158597,0.549165048,0.772464273,0.845318592,0.795749093
Naive Bayes Classifier,tfidf_ngram,79.73043027,0.610801678,0.893011505,0.535223918,0.76993195,0.843594413,0.797304303
